;Available since;Coordinates;Garden;Listing_status;Neighbourhood;Number of bedrooms;Number of rooms;Price;Surface (m²);Total volume (m³);Year built;Zipcode;link
0;01-05-2018;('4.8487089900', '52.3747253200');['Ja', 'achtertuin'];Beschikbaar;Erasmuspark;2;3;495.000;80;220;1932;1056RD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367785/mercatorstraat
"
1;> 3 maanden;('4.9499119100', '52.3411598100');['Ja', 'ja'];Beschikbaar;Frankendael;3;4;425.000;85;290;1925;1097VE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365513/middenweg
"
2;15-05-2018;('4.7999810900', '52.3771271000');['N', 'e', 'e'];Beschikbaar;Geuzenveld;2;3;360.000;99;235;1957;1067LN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380079/goeman-borgesiusstraat
"
3;> 3 maanden;('4.9377223300', '52.3639070000');['N', 'e', 'e'];Beschikbaar;Indische Buurt West;2;1;215.000;37;153;1913;1094HE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002244821/javastraat
"
4;19-04-2018;('4.7895976400', '52.3510015600');['Ja', 'achtertuin'];Beschikbaar;Middelveldsche Akerpolder en Sloten;3;4;399.000;119;397;1998;1060RL;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373105/h-diesveldsingel
"
5;> 3 maanden;('4.7891418100', '52.3565087900');['N', 'e', 'e'];Verkocht onder voorbehoud;De Punt;3;4;172.000;72;224;1963;1069ED;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373081/langswater
"
6;07-05-2018;('4.8927485800', '52.3563847400');['N', 'e', 'e'];Beschikbaar;Oude Pijp;2;3;425.000;66;191;1963;1073AB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372442/eerste-van-der-helststraat
"
7;24-04-2018;('4.8241049000', '52.3787002900');['N', 'e', 'e'];Beschikbaar;Slotermeer-Zuidwest;3;4;350.000;101;292;1991;1063MD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002361087/cornelis-van-rijplantsoen
"
8;> 3 maanden;('4.9704917200', '52.3169671500');['N', 'e', 'e'];Beschikbaar;Bijlmer-Oost (E, G, K);2;3;225.000;72;175;1986;1104PA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002106327/kolfschotenstraat
"
9;06-04-2018;('4.8650508100', '52.3624853200');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Overtoomse Sluis;1;2;350.000;56;152;1902;1054XA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002363205/kanaalstraat
"
10;> 3 maanden;('4.7959493700', '52.3545746600');['N', 'e', 'e'];Beschikbaar;Osdorp-Midden;1;2;197.500;70;191;2004;1069HM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001277800/lederambachtstraat
"
11;> 3 maanden;('4.7959493700', '52.3545746600');['N', 'e', 'e'];Beschikbaar;Osdorp-Midden;1;2;197.500;70;191;2004;1069HM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002364070/wagenaarstraat
"
12;> 3 maanden;('4.8954843200', '52.3519202400');['N', 'e', 'e'];Beschikbaar;Diamantbuurt;1;2;389.000;60;191;1903;1073GG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382073/rustenburgerstraat
"
13;18-05-2018;('4.8878529500', '52.3805321600');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;2;3;519.000;73;157;1910;1015GD;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002382415/brouwersgracht
"
14;03-04-2018;('4.7938481300', '52.3627358900');['Ja'];Beschikbaar;Osdorp-Midden;5;6;475.000;130;157;2014;1069AL;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002344967/reimerswaalstraat
"
15;25-04-2018;('4.8815593100', '52.3734680800');['N', 'e', 'e'];Verkocht onder voorbehoud;Jordaan;3;4;849.000;145;489;2014;1016LR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002362275/rozengracht
"
16;> 3 maanden;('4.8698955000', '52.3725638600');['Ja'];Beschikbaar;Frederik Hendrikbuurt;3;4;575.000;60;489;1952;1052LX;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002352776/hugo-de-grootkade
"
17;> 3 maanden;('4.9905496400', '52.2994650000');['Ja', '- achtertuin fraai aangelegd en gelegen op het zuidwesten. Met schuur en achterom.'];Beschikbaar;Gein;2;3;289.000;90;234;1986;1106WG;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001427504/anne-kooistrahof
"
18;16-03-2018;('4.8679116900', '52.3739392900');['N', 'e', 'e'];Verkocht onder voorbehoud;Centrale Markt;3;4;435.000;92;277;1984;1051NJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002332184/marcantilaan
"
19;18-05-2018;('4.9006906500', '52.3868878000');"['Ja', 'achtertuin;zonneterras']";Beschikbaar;Buiksloterham;3;4;825.000;148;499;2001;1031KB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002383146/spadinalaan
"
20;15-03-2018;('4.9091604600', '52.3876574500');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Volewijck;1;2;279.000;44;129;1919;1031GP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331185/oleanderstraat
"
21;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;415.000;51;168;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315603/rapenburgerstraat
"
22;> 3 maanden;('4.9648325000', '52.3244878100');['Ja', 'Op het Oosten'];Beschikbaar;Bijlmer-Oost (E, G, K);3;6;324.500;131;168;2008;1103AV;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002358193/emanzana
"
23;> 3 maanden;('4.9648325000', '52.3244878100');['N', 'e', 'e'];Beschikbaar;Bijlmer-Oost (E, G, K);3;6;324.500;131;168;2008;1103AV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002319471/langswater
"
24;15-05-2018;('4.8563532800', '52.3630128700');['N', 'e', 'e'];Beschikbaar;Westindische buurt;1;2;300.000;53;169;1927;1058XX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379783/crynssenstraat
"
25;03-05-2018;('4.8313242700', '52.3827249600');['Ja', 'achtertuin'];Beschikbaar;Slotermeer-Noordoost;4;5;550.000;142;465;1953;1063AX;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373103/burgemeester-vening-meineszlaan
"
26;13-04-2018;('4.9233623700', '52.4089786800');['N', 'e', 'e'];Beschikbaar;Banne Buiksloot;2;3;250.000;74;235;1978;1034MB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002353005/grootzeilhof
"
27;> 3 maanden;('4.7958130600', '52.3769176100');['N', 'e', 'e'];Verkocht onder voorbehoud;Geuzenveld;4;5;299.000;104;347;1957;1067LZ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002360091/de-bazelhof
"
28;> 3 maanden;('4.9180594200', '52.3684863500');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijke Eilanden/Kadijken;3;4;700.000;107;361;1957;1018BH;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002284572/hoogte-kadijk
"
29;12-03-2018;('4.7907961000', '52.3546566600');['N', 'e', 'e'];Beschikbaar;De Punt;2;3;175.000;63;209;1966;1069TS;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318199/langswater
"
30;> 3 maanden;('4.7894350100', '52.3565372300');['N', 'e', 'e'];Beschikbaar;De Punt;2;3;158.000;70;200;1963;1069ED;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0000180740/langswater
"
31;> 3 maanden;('4.8119313700', '52.3740490400');['N', 'e', 'e'];Beschikbaar;Slotermeer-Zuidwest;2;3;325.000;88;295;2008;1064LG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002281434/confuciusplein
"
32;> 3 maanden;('4.9065451000', '52.4188789300');['Ja', 'ja'];Verkocht onder voorbehoud;Kadoelen;4;6;675.000;113;405;1920;1035NL;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002279953/kadoelenweg
"
33;19-04-2018;('4.8997977300', '52.3707943200');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;2;3;525.000;88;215;1890;1011HC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002357913/nieuwe-hoogstraat
"
34;> 3 maanden;('4.8086851500', '52.3617289600');['N', 'e', 'e'];Verkocht onder voorbehoud;Osdorp-Oost;2;4;189.500;100;300;1976;1068CV;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002329100/ruimzicht
"
35;> 3 maanden;('4.8860895300', '52.3884159100');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;2;2;319.000;43;300;1970;1013LC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002211275/zoutkeetsgracht
"
