;Available since;Garden;Latitude;Link;Listing_status;Longitude;Neighbourhood;Number of bedrooms;Number of rooms;Price;Street;Surface (m²);Total volume (m³);Type;Year built;Zipcode
0;29-05-2018;['No'];52.37811266;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002390044/sanderijnstraat;Beschikbaar;4.85045958;Erasmuspark;2;3;330000;Sanderijnstraat;55;185;Appartement;[];1055BW
1;19-05-2018;['No'];52.36423928;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389936/kazernestraat;Beschikbaar;4.92137833;Oostelijke Eilanden/Kadijken;[];2;365000;Kazernestraat;59;208;Appartement;1905;1018CC
2;> 3 maanden;['Yes'];52.36977294;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389736/bartholomeus-diazstraat;Beschikbaar;4.85264556;Hoofdweg en omgeving;1;2;289000;Bartholomeus Diazstraat;50;208;Appartement;1926;1057TA
3;29-05-2018;['No'];52.36403032;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389947/lootsstraat;Beschikbaar;4.86078964;Van Lennepbuurt;[];2;350000;Lootsstraat;55;160;Appartement;1993;1053NX
4;> 3 maanden;['Yes', 'achtertuin'];52.41000346;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002389669/abrikozenstraat;Beschikbaar;4.89880799;Tuindorp Oostzaan;2;5;210000;Abrikozenstraat;71;240;Woonhuis;1954;1033KB
5;> 3 maanden;['No'];52.392874;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389824/beemsterstraat;Beschikbaar;4.94965164;Nieuwendam-Noord;2;3;220000;Beemsterstraat;65;202;Appartement;[];1024BJ
6;29-05-2018;['Yes', 'achtertuin'];52.37811266;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002390043/sanderijnstraat;Beschikbaar;4.85045958;Erasmuspark;1;3;485000;Sanderijnstraat;81;295;Appartement;[];1055BW
7;> 3 maanden;['No'];52.37927068;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002390009/jan-de-jonghstraat;Beschikbaar;4.82497886;Slotermeer-Noordoost;2;3;235000;Jan de Jonghstraat;64;206;Appartement;1994;1063MB
8;28-05-2018;['No'];52.32744421;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389994/backershagen;Beschikbaar;4.87584882;Buitenveldert-West;3;4;445000;Backershagen;115;280;Appartement;1968;1082GS
9;> 3 maanden;['No'];52.31257781;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389735/hoogoord;Beschikbaar;4.95454857;Bijlmer-Centrum (D, F, H);3;4;225000;Hoogoord;94;234;Appartement;1969;1102CD
10;29-05-2018;['No'];52.35315729;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002389675/kuipersstraat;Beschikbaar;4.90122438;Nieuwe Pijp;[];4;900000;Kuipersstraat;174;600;Woonhuis;1903;1073ER
11;29-05-2018;['No'];52.35422631;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389754/eerste-jan-steenstraat;Beschikbaar;4.89242035;Oude Pijp;1;3;415000;Eerste Jan Steenstraat;68;229;Appartement;1887;1072NS
12;29-05-2018;['No'];52.34396565;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389705/maasstraat;Beschikbaar;4.89538165;Scheldebuurt;2;3;499000;Maasstraat;100;330;Appartement;1930;1078HN
13;29-05-2018;['No'];52.34626969;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389674/deurloostraat;Beschikbaar;4.8896913;Scheldebuurt;3;6;550000;Deurloostraat;86;307;Appartement;1934;1078HT
14;29-05-2018;['No'];52.37811266;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002390045/sanderijnstraat;Beschikbaar;4.85045958;Erasmuspark;2;3;325000;Sanderijnstraat;55;185;Appartement;[];1055BW
15;29-05-2018;['Yes', 'achtertuin'];52.3781755;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002390046/sanderijnstraat;Beschikbaar;4.85044414;Erasmuspark;1;3;445000;Sanderijnstraat;72;267;Appartement;[];1055BW
16;29-05-2018;['Yes'];52.34806941;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002389782/eurokade;Beschikbaar;4.78563046;Middelveldsche Akerpolder en Sloten;3;5;399500;Eurokade;149;267;Woonhuis;1998;1060RZ
17;29-05-2018;['No'];52.39745747;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002390032/jisperveldstraat;Beschikbaar;4.94959171;Nieuwendam-Noord;3;4;300000;Jisperveldstraat;100;307;Appartement;1968;1024AE
18;28-05-2018;['No'];52.37068699;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389820/marnixstraat;Beschikbaar;4.87646637;Jordaan;2;3;345000;Marnixstraat;49;164;Appartement;1900;1016TL
19;29-05-2018;['No'];52.36386564;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389816/plantage-muidergracht;Beschikbaar;4.91553901;Weesperbuurt/Plantage;2;3;489000;Plantage Muidergracht;78;237;Appartement;1990;1018TW
