;Available since;Garden;Latitude;Link;Listing_status;Longitude;Neighbourhood;Number of bedrooms;Number of rooms;Price;Street;Surface (m²);Total volume (m³);Type;Year built;Zipcode
0;> 3 maanden;['No'];52.36247934;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386844/vrijzicht;Beschikbaar;4.8095856;Osdorp-Oost;1;2;225000;Vrijzicht;73;190;Appartement;1966;1068CJ
1;24-05-2018;['No'];52.32609491;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386708/brittenburg;Beschikbaar;4.87144897;Buitenveldert-West;2;3;325000;Brittenburg;67;216;Appartement;1963;1082BS
2;> 3 maanden;['No'];52.39252349;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002276360/silodam;Beschikbaar;4.89040633;Houthavens;[];3;39000;Silodam;9999;216;Opslagruimte;2000;1013AW
3;18-05-2018;['No'];52.37538922;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382427/van-oldenbarneveldtstraat;Beschikbaar;4.87476746;Frederik Hendrikbuurt;3;3;355000;Van Oldenbarneveldtstraat;50;173;Appartement;[];1052JT
4;18-05-2018;['No'];52.37356183;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002381685/pieter-van-der-doesstraat;Beschikbaar;4.85776893;De Krommert;1;2;225000;Pieter van der Doesstraat;50;140;Appartement;1933;1056VC
5;05-04-2018;['No'];52.37621172;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002348576/hoofdweg;Verkocht onder voorbehoud;4.84748672;Westindische buurt;2;3;450000;Hoofdweg;104;322;Appartement;2008;1055AB
6;11-05-2018;['Yes', 'achtertuin'];52.40675506;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002375337/annabellaweg;Bieding;4.9005076;Tuindorp Oostzaan;5;7;550000;Annabellaweg;152;539;Woonhuis;2012;1036KR
7;18-05-2018;['Yes', 'achtertuin'];52.36488512;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382488/lampongstraat;Beschikbaar;4.93731601;Indische Buurt West;2;3;475000;Lampongstraat;85;311;Appartement;1914;1094AV
8;17-04-2018;['No'];52.34780469;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356179/westlandgracht;Beschikbaar;4.84623245;Hoofddorppleinbuurt;[];2;375000;Westlandgracht;61;200;Appartement;1935;1059TR
9;22-05-2018;['No'];52.3181271;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002383290/boris-pasternakstraat;Beschikbaar;4.94345077;Bijlmer-Centrum (D, F, H);[];3;225000;Boris Pasternakstraat;71;210;Appartement;1984;1102TD
10;> 3 maanden;['No'];52.36103681;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002366523/semarangstraat;Beschikbaar;4.94404936;Indische Buurt Oost;2;3;250000;Semarangstraat;48;170;Appartement;1926;1095GE
11;21-03-2018;['No'];52.37638467;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002334686/veembroederhof;Verkocht onder voorbehoud;4.92443756;Oostelijk Havengebied;2;3;460000;Veembroederhof;85;220;Appartement;2004;1019HD
12;> 3 maanden;['No'];52.35527179;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002258965/gerard-doustraat;Verkocht onder voorbehoud;4.8888271;Oude Pijp;1;2;245000;Gerard Doustraat;37;120;Appartement;1877;1072VJ
13;17-04-2018;['No'];52.35200306;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389018/dusartstraat;Verkocht onder voorbehoud;4.88949494;Nieuwe Pijp;1;2;450000;Dusartstraat;72;225;Appartement;[];1072HM
